Frame,C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24
64,5.302621,7.612631,-0.5305805,0.06981663,3.064499,6.501682,-0.03835802,-2.326582,4.691227,20.46796,2.954241,-1.537323,-0.4928729,3.128789,0.1766452,-1.400154,2.827881,10.17341,5.748016,1.907501,2.944675,3.214503,22.82275,-0.4311503,7.013675
65,5.67476,9.583985,0.7427491,2.706754,3.321268,6.521749,-0.3924834,-4.66923,4.720506,22.64865,1.341377,-0.3383018,-1.418242,2.560769,-0.08166793,-1.232889,4.129432,10.23465,4.526827,0.1532635,2.855864,4.001668,21.65344,-0.1122494,7.330046
66,5.292308,8.370212,-1.470533,-2.496265,6.508473,1.967132,-0.3322813,-1.108102,2.485088,22.52396,-0.8509132,0.7051853,-1.464051,1.277606,-3.243287,-1.435619,3.400232,4.43883,1.030717,0.2629542,1.003938,2.853757,18.15658,-2.284945,4.903135
67,6.617613,8.64005,-1.858056,-3.079151,6.245266,-0.6690729,-0.09150945,-0.4111661,4.496901,25.65046,0.5059393,-1.874398,0.02298527,-0.05855614,-0.6486796,-1.314787,4.234101,1.864901,1.970076,-2.754502,-0.2366363,1.700525,18.05935,-0.5174572,1.170273
68,7.862635,6.310995,-1.580133,-2.678086,7.593232,0.6715811,0.1589644,0.7413658,3.119949,24.90356,0.817902,-3.255355,0.7120786,-0.2646363,0.9902554,0.1208252,3.452915,2.062273,1.67952,-2.632999,-0.0535654,0.2567632,18.29788,-1.965032,1.097812
69,7.534023,7.354184,-1.384529,-2.53009,7.947073,0.1335932,-3.010085,2.385692,4.279075,23.01777,1.992733,-2.132481,-0.05835897,-1.755386,-0.4664412,-2.82149,2.414196,2.324239,1.492085,-0.5315064,0.8544523,1.657228,16.82677,-1.54008,1.332827
70,7.048651,8.334352,-0.7646162,-1.625854,6.885524,0.4214848,-0.7994618,1.954045,5.008455,24.05382,2.157317,-1.644052,-0.2255632,0.4565399,-1.967206,-1.728736,3.982477,0.6376859,-0.3632426,0.2971496,-1.605337,-0.861726,16.3346,-2.726843,0.6381914
71,7.772177,6.580729,-2.065774,-6.155961,8.71393,-1.263371,-2.150586,0.7234111,5.087987,24.91254,0.9619617,-3.370985,0.1535925,-1.962915,-0.6667197,1.627571,2.602233,-0.8065431,-0.001089113,-1.195457,-0.2362393,1.025616,17.76593,-2.517228,-0.8268464
72,6.989872,12.16419,-0.4766976,-3.344934,8.058405,0.5344481,-1.463307,0.5367591,4.481414,24.10625,2.307776,-2.398889,-1.536808,-0.5261692,-0.7896748,-2.27279,3.936987,0.5450206,-0.1183399,-1.275817,-0.8681543,-2.206488,18.49575,-2.139502,0.9615363
73,9.556767,10.07688,-1.279897,-2.808131,11.27936,-0.02490155,-3.914734,3.841087,6.525415,25.6485,0.7406819,-0.8781936,-2.143106,-0.4248205,-1.513189,-1.804789,4.316751,-2.127152,-2.533739,0.4712178,0.0949795,-3.066616,22.5522,-5.091055,-2.771332
74,9.611255,10.66149,-2.507222,-2.843471,13.67778,-1.932014,-3.551124,3.465582,4.366483,26.61836,0.346838,-1.324787,-1.275591,-0.9429812,-0.5293237,-2.945362,4.987113,-2.682034,-1.615712,0.3880317,1.500686,-5.416652,28.55271,-6.04931,-4.019473
75,8.287745,12.40194,-0.963703,-4.265154,12.30307,-0.2888609,-2.321204,3.45128,5.459196,26.57381,-1.357262,-1.164293,-2.901046,0.5661573,-3.02346,-1.053,4.104687,-0.6651668,-2.228211,-1.135877,-0.04874104,-0.9490517,30.61217,-5.121598,-1.346367
76,6.602417,15.01047,-1.092038,-4.002443,11.92959,2.426376,-1.928513,0.6889447,4.127186,25.91804,-2.232559,-2.04805,-1.123143,-1.249918,-1.825005,-1.760799,2.095953,1.076475,-1.05934,-1.613401,-0.2032406,-2.401735,32.1405,-2.818071,1.318031
77,8.936331,13.59131,-0.4003979,-3.586835,13.76007,1.312823,-2.604854,1.725769,3.357137,24.38232,0.3495036,-1.236229,-1.394688,-1.609327,-0.6317917,-1.872574,4.247811,-0.4204368,0.6924437,-1.461732,-0.8076129,0.3594308,31.79388,-3.643653,0.6655818
78,8.315762,13.30536,-1.9226,-3.125832,15.02268,1.458258,-2.375732,2.893175,4.649287,23.53621,0.7868258,2.487155,0.3095978,-0.9256058,2.296118,-2.908009,2.932825,-0.5230176,0.7587638,-0.3977976,0.7375619,-2.308739,32.41149,-3.704015,-0.9161025
79,8.40916,12.08525,-1.111052,-1.499041,14.86344,1.03607,-2.591727,2.935872,2.176901,24.08505,1.128109,2.440969,-0.9507673,-1.597363,1.80926,-3.085374,3.490935,0.9294815,2.316288,-1.862553,0.7735242,-0.2240358,31.47284,-3.360232,-0.1569798
80,8.623028,9.404951,-0.4136238,-1.19524,11.7398,0.4950895,-1.011466,2.448135,4.965348,24.63762,-0.08997232,2.62806,-0.0855788,-2.199146,0.9416349,-2.652064,2.714376,0.06852227,2.365233,-1.228774,2.172533,0.03768608,27.8721,-3.296655,-0.8777394
81,9.594928,11.55148,-1.610515,-4.125793,9.985926,0.8148859,-2.269877,2.60041,3.127419,23.3123,-0.8940246,3.947307,-2.214989,-1.641085,-0.007119006,-2.815649,4.177906,1.249099,-0.3009332,-2.545195,0.4580127,-1.835162,27.43973,-2.370056,-1.538158
