"Evnt_Time","Evnt_ID","Evnt_Name","Item_Name","Alias_Name","Group_ID","Num_Args","Arg1_Name","Arg1_Value","Arg2_Name","Arg2_Value","Arg3_Name","Arg3_Value","Arg4_Name","Arg4_Value","Arg5_Name","Arg5_Value"
"1591.093","30","Touch Down Event","Bussey Mouse Operant Mode 2 x 1 x low","","12","2","Position","2","Image 1","0",,,,,,
"1591.093","1","Condition Event","S3-Free-image touch=big","","12","0",,,,,,,,,,
"1591.093","3","Output On Event","TrayLight #1","","12","0",,,,,,,,,,
"1591.093","7","Pulse Output Event","Feeder #2","","12","1","Duration","1.2",,,,,,,,
"1591.093","7","Pulse Output Event","Sound_On #1","","12","1","Duration","1",,,,,,,,
"1591.093","34","Whisker - Clear Image by Position","Bussey Mouse Operant Mode 2 x 1 x low","","12","2","Position","2","","-1",,,,,,
"1591.093","34","Whisker - Clear Image by Position","Bussey Mouse Operant Mode 2 x 1 x low","","12","2","Position","1","","-1",,,,,,
"1591.093","32","Whisker - Display Image","Bussey Mouse Operant Mode 2 x 1 x low","Background","12","2","Position","1","Image 1","0",,,,,,
"1591.093","32","Whisker - Display Image","Bussey Mouse Operant Mode 2 x 1 x low","Background","12","2","Position","2","Image 1","0",,,,,,
"1591.093","16","Variable Event","shock_on_off","","12","1","Value","1",,,,,,,,
"1591.093","19","List Change - Next Value","S4_75_freechoice_shock","","12","2","Index","4","Value","1",,,,,,
"1591.093","16","Variable Event","_Trial_Counter","","12","1","Value","75",,,,,,,,
"1591.093","16","Variable Event","trial_withinsession_counter","","12","1","Value","15",,,,,,,,
"1591.093","16","Variable Event","BigRew_free_counter","","12","1","Value","44",,,,,,,,
"1591.093","16","Variable Event","FreeTrials_counter","","12","1","Value","50",,,,,,,,
"1591.093","21","Group Change Event","Group Change","","12","1","New Group","14",,,,,,,,
"1591.094","1","Condition Event","Pulse Shock","","14","0",,,,,,,,,,
"1591.094","7","Pulse Output Event","Shocker #1","","14","1","Duration","0.5",,,,,,,,
"1591.094","21","Group Change Event","Group Change","","14","1","New Group","17",,,,,,,,
"1591.221","31","Touch Up Event","Bussey Mouse Operant Mode 2 x 1 x low","","17","2","Position","0","(NoImageOrVideo)","-1",,,,,,
"1594.569","38","Input Transition On Event","Tray #1","","17","0",,,,,,,,,,
"1594.57","1","Condition Event","Reward Retrieved Free Choice","","17","0",,,,,,,,,,
"1594.57","4","Output Off Event","TrayLight #1","","17","0",,,,,,,,,,
"1594.57","29","Timer Event","ITI_timer","","17","1","Value","0",,,,,,,,
"1594.57","21","Group Change Event","Group Change","","17","1","New Group","21",,,,,,,,
"1597.745","39","Input Transition Off Event","Tray #1","","21","0",,,,,,,,,,
"1598.871","38","Input Transition On Event","Tray #1","","21","0",,,,,,,,,,
"1598.891","39","Input Transition Off Event","Tray #1","","21","0",,,,,,,,,,
"1602.102","38","Input Transition On Event","Tray #1","","21","0",,,,,,,,,,
"1602.324","39","Input Transition Off Event","Tray #1","","21","0",,,,,,,,,,
"1602.57","1","Condition Event","ITI (regular)","","21","0",,,,,,,,,,
"1602.57","16","Variable Event","ITI_timer","","21","1","Value","8",,,,,,,,
"1602.57","16","Variable Event","ITI_timer","","21","1","Value","0",,,,,,,,
"1602.57","21","Group Change Event","Group Change","","21","1","New Group","2",,,,,,,,
"1602.57","1","Condition Event","If not End of Expt","","2","0",,,,,,,,,,
"1602.57","3","Output On Event","TrayLight #1","","2","0",,,,,,,,,,
"1602.57","7","Pulse Output Event","TTL #1","","2","1","Duration","1",,,,,,,,
"1602.57","1","Condition Event","If not End of Expt., turns on TrayLight","","2","0",,,,,,,,,,
"1602.57","3","Output On Event","TrayLight #1","","2","0",,,,,,,,,,
"1602.57","7","Pulse Output Event","TTL #1","","2","1","Duration","1",,,,,,,,
"1602.57","21","Group Change Event","Group Change","","2","1","New Group","3",,,,,,,,
"1602.57","1","Condition Event","Define Session3","","3","0",,,,,,,,,,
"1602.57","16","Variable Event","Session3","","3","1","Value","1",,,,,,,,
"1602.57","16","Variable Event","Session1","","3","1","Value","0",,,,,,,,
"1602.57","16","Variable Event","Session2","","3","1","Value","0",,,,,,,,
"1602.57","16","Variable Event","Session4","","3","1","Value","0",,,,,,,,
"1602.57","16","Variable Event","Session5","","3","1","Value","0",,,,,,,,
"1602.57","21","Group Change Event","Group Change","","3","1","New Group","4",,,,,,,,
"1602.57","1","Condition Event","Are we in Free_Choice Trials","","4","0",,,,,,,,,,
"1602.57","16","Variable Event","FreeChoice_trials","","4","1","Value","1",,,,,,,,
"1602.57","21","Group Change Event","Group Change","","4","1","New Group","10",,,,,,,,
"1602.632","38","Input Transition On Event","Tray #1","","10","0",,,,,,,,,,
"1602.634","1","Condition Event","Free-Choice Trials begin","","10","0",,,,,,,,,,
"1602.634","4","Output Off Event","TrayLight #1","","10","0",,,,,,,,,,
"1602.634","32","Whisker - Display Image","Bussey Mouse Operant Mode 2 x 1 x low","Images","10","2","Position","1","Image 1","0",,,,,,
"1602.634","32","Whisker - Display Image","Bussey Mouse Operant Mode 2 x 1 x low","Images","10","2","Position","2","Image 1","0",,,,,,
"1602.634","29","Timer Event","Presentation_timer","","10","1","Value","0",,,,,,,,
"1602.634","21","Group Change Event","Group Change","","10","1","New Group","12",,,,,,,,
"1602.73","39","Input Transition Off Event","Tray #1","","12","0",,,,,,,,,,
"1602.747","38","Input Transition On Event","Tray #1","","12","0",,,,,,,,,,
"1603.016","39","Input Transition Off Event","Tray #1","","12","0",,,,,,,,,,
"1608.748","30","Touch Down Event","Bussey Mouse Operant Mode 2 x 1 x low","","12","2","Position","2","Image 1","0",,,,,,
"1608.748","1","Condition Event","S3-Free-image touch=big","","12","0",,,,,,,,,,
"1608.748","3","Output On Event","TrayLight #1","","12","0",,,,,,,,,,
"1608.748","7","Pulse Output Event","Feeder #2","","12","1","Duration","1.2",,,,,,,,
"1608.748","7","Pulse Output Event","Sound_On #1","","12","1","Duration","1",,,,,,,,
"1608.748","34","Whisker - Clear Image by Position","Bussey Mouse Operant Mode 2 x 1 x low","","12","2","Position","2","","-1",,,,,,
"1608.748","34","Whisker - Clear Image by Position","Bussey Mouse Operant Mode 2 x 1 x low","","12","2","Position","1","","-1",,,,,,
"1608.748","32","Whisker - Display Image","Bussey Mouse Operant Mode 2 x 1 x low","Background","12","2","Position","1","Image 1","0",,,,,,
"1608.748","32","Whisker - Display Image","Bussey Mouse Operant Mode 2 x 1 x low","Background","12","2","Position","2","Image 1","0",,,,,,
"1608.748","16","Variable Event","shock_on_off","","12","1","Value","1",,,,,,,,
"1608.748","19","List Change - Next Value","S4_75_freechoice_shock","","12","2","Index","1","Value","0",,,,,,
"1608.748","16","Variable Event","_Trial_Counter","","12","1","Value","76",,,,,,,,
"1608.748","16","Variable Event","trial_withinsession_counter","","12","1","Value","16",,,,,,,,
"1608.748","16","Variable Event","BigRew_free_counter","","12","1","Value","45",,,,,,,,
"1608.748","16","Variable Event","FreeTrials_counter","","12","1","Value","51",,,,,,,,
"1608.748","21","Group Change Event","Group Change","","12","1","New Group","14",,,,,,,,
"1608.749","1","Condition Event","Pulse Shock","","14","0",,,,,,,,,,
"1608.749","7","Pulse Output Event","Shocker #1","","14","1","Duration","0.5",,,,,,,,
"1608.749","21","Group Change Event","Group Change","","14","1","New Group","17",,,,,,,,
